=== Profile @0 ms ===
name,count,total_ms,avg_ms,max_ms
main.createApplication,1,861.826,861.826,861.826
runtime.workerBatch,8,218.07,27.2587,214.404
runtime.rasterizeTiles,1,214.239,214.239,214.239
runtime.backend.raster,1,214.077,214.077,214.077
main.pollEvents.preFrame,22,34.2863,1.55847,9.3555
pipeline.process,23,33.1246,1.4402,3.5391
app.processFrameEvent,22,32.5488,1.47949,3.5596
main.renderTickProcess,21,31.9676,1.52227,3.5661
pipeline.visualCover,23,8.4159,0.365909,0.6361
main.scriptedInput,22,7.6159,0.346177,7.2953
app.requestWindowSize.window,1,7.2443,7.2443,7.2443
pipeline.buildCommands,23,7.0118,0.304861,0.5789
pipeline.planWork,23,6.9571,0.302483,0.6984
pipeline.submitJobs,23,3.0619,0.133126,1.01
runtime.classifyTiles,7,3.0492,0.4356,1.4119
pipeline.drainCompleted,23,2.6719,0.11617,0.7619
runtime.drainCompleted,23,2.5913,0.112665,0.7571
runtime.submitJobs,23,2.4346,0.105852,0.4719
runtime.applyTransaction,48,1.7497,0.0364521,0.3045
tileCache.apply,48,1.6984,0.0353833,0.3029
pipeline.reduce,23,1.4838,0.064513,0.2151
app.initialFrame,1,0.9479,0.9479,0.9479
runtime.backend.classify,7,0.8547,0.1221,0.4882
main.processQueuedFrameEvents,22,0.724,0.0329091,0.7185
main.applyPendingWindowSizeChange,22,0.2513,0.0114227,0.2313
pipeline.setLatestRequest,23,0.2353,0.0102304,0.0488
pipeline.beginRegionFrame,23,0.1244,0.0054087,0.0223
pipeline.presentableTiles,23,0.117,0.00508696,0.0106
pipeline.uploadPlan,23,0.0769,0.00334348,0.0069
pipeline.debugCounts,23,0.0758,0.00329565,0.0082
app.onWindowSizeChanged,1,0.0587,0.0587,0.0587
app.applyWindowSize.renderer,1,0.027,0.027,0.027
compute.makeDefaultBackend,1,0.0133,0.0133,0.0133
pipeline.effects,23,0.0016,6.95652e-05,0.0003

